AS,mean,var,count
4766,209.975,3.011058000000019,2
9354,194.23466666666664,3.6136703333333653,3
9381,278.07384210526317,35702.13546840684,38
9812,229.8635238095238,290.8710997677119,42
9842,212.12525,17.452201357142886,8
23620,181.59366666666668,11.55980900000004,9
45062,280.7311,599.5894761000004,10
45117,327.47066666666666,24365.005497333328,3
45671,266.14160000000004,481.8105109333327,10
45727,278.81600000000003,15.624050000000018,2
45974,240.77759999999998,360.33649829999973,5
55649,234.90075,27.565410916666746,4
63199,236.82633333333334,11.179609333333403,3
140694,280.677,73.47144199999983,2
132045,255.88,134.9857339999997,6
133380,242.32966666666667,49.51822633333349,3
18144,195.594,17.03357133333333,4
24560,305.04294716981127,407.61294857187227,530
45609,258.9008671875,1052.8832986794416,384
45775,254.40320000000003,200.39313569999987,5
4713,199.0874375,445.79840439583273,16
4721,210.66600000000003,475.4673910000001,3
4847,239.44226315789476,159.39914442690062,19
10045,212.08825,45.87515358333322,4
10088,305.46930000000003,1685.4586220111119,10
133287,287.565,79.30441800000064,2
17962,264.68087096774195,1045.2247000814386,62
24560,298.26415217391303,1004.8673415809878,92
3786,252.0765,390.51740450000005,2
4515,237.87794444444444,17.394357820261437,18
45609,251.03552531645568,277.17513453120245,158
45629,278.5716260869565,178.1517725080388,345
45758,278.6930953757225,182.36920742565906,346
4713,199.81466666666665,105.93117033333337,3
4760,238.09017647058823,73.49866565441188,17
4847,260.87741176470587,227.0587557573536,17
55644,295.3254761904762,1649.882864596979,42
9812,239.636875,1312.5756341129036,32

